development_fold,subject,method,calibration_size,calibration_run,test_runs,training_subjects,source_CSP_fit_subjects,source_scaler_fit_subjects,calibration_trial_keys,calibration_trial_count,calibration_fists_count,calibration_feet_count,test_trial_keys,test_runs_absent_from_calibration,target_EEG_used_for_source_CSP_fit,target_EEG_used_for_source_scaler_fit,unlabeled_test_EEG_used_for_adaptation,target_CSP_refit,target_scaler_refit,decision_layer_fitted_from_calibration_only,calibrated_threshold,target_LDA_training_trial_count
6,6,target_lda,4,6,10/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03,4,2,2,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,4
6,6,target_lda,4,10,6/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03,4,2,2,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,4
6,6,target_lda,4,14,6/10,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03,4,2,2,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14,True,False,False,False,False,False,True,,4
6,6,target_lda,8,6,10/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07,8,4,4,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,8
6,6,target_lda,8,10,6/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07,8,4,4,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,8
6,6,target_lda,8,14,6/10,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07,8,4,4,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14,True,False,False,False,False,False,True,,8
6,6,target_lda,12,6,10/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11,12,6,6,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,12
6,6,target_lda,12,10,6/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11,12,6,6,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,12
6,6,target_lda,12,14,6/10,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11,12,6,6,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14,True,False,False,False,False,False,True,,12
6,6,target_lda,14,6,10/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13,14,7,7,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,14
6,6,target_lda,14,10,6/14,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13,14,7,7,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13/S006_R14_T14,True,False,False,False,False,False,True,,14
6,6,target_lda,14,14,6/10,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,S006_R14_T00/S006_R14_T01/S006_R14_T02/S006_R14_T03/S006_R14_T04/S006_R14_T05/S006_R14_T06/S006_R14_T07/S006_R14_T08/S006_R14_T09/S006_R14_T10/S006_R14_T11/S006_R14_T12/S006_R14_T13,14,7,7,S006_R06_T00/S006_R06_T01/S006_R06_T02/S006_R06_T03/S006_R06_T04/S006_R06_T05/S006_R06_T06/S006_R06_T07/S006_R06_T08/S006_R06_T09/S006_R06_T10/S006_R06_T11/S006_R06_T12/S006_R06_T13/S006_R06_T14/S006_R10_T00/S006_R10_T01/S006_R10_T02/S006_R10_T03/S006_R10_T04/S006_R10_T05/S006_R10_T06/S006_R10_T07/S006_R10_T08/S006_R10_T09/S006_R10_T10/S006_R10_T11/S006_R10_T12/S006_R10_T13/S006_R10_T14,True,False,False,False,False,False,True,,14
7,7,threshold,0,6,10/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,,0,0,0,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,False,,0
7,7,threshold,0,10,6/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,,0,0,0,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,False,,0
7,7,threshold,0,14,6/10,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,,0,0,0,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14,True,False,False,False,False,False,False,,0
7,7,threshold,4,6,10/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03,4,2,2,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.6976790611563777,0
7,7,threshold,4,10,6/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03,4,2,2,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.13400347412228975,0
7,7,threshold,4,14,6/10,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03,4,2,2,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14,True,False,False,False,False,False,True,-0.07663764652128846,0
7,7,threshold,8,6,10/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07,8,4,4,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.7240780053506388,0
7,7,threshold,8,10,6/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07,8,4,4,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.13400347412228975,0
7,7,threshold,8,14,6/10,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07,8,4,4,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14,True,False,False,False,False,False,True,-0.3203675572052678,0
7,7,threshold,12,6,10/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11,12,6,6,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.38930953741936597,0
7,7,threshold,12,10,6/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11,12,6,6,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.48198472817634447,0
7,7,threshold,12,14,6/10,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11,12,6,6,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14,True,False,False,False,False,False,True,-0.3203675572052678,0
7,7,threshold,14,6,10/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13,14,7,7,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.38930953741936597,0
7,7,threshold,14,10,6/14,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13,14,7,7,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13/S007_R14_T14,True,False,False,False,False,False,True,0.48198472817634447,0
7,7,threshold,14,14,6/10,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,S007_R14_T00/S007_R14_T01/S007_R14_T02/S007_R14_T03/S007_R14_T04/S007_R14_T05/S007_R14_T06/S007_R14_T07/S007_R14_T08/S007_R14_T09/S007_R14_T10/S007_R14_T11/S007_R14_T12/S007_R14_T13,14,7,7,S007_R06_T00/S007_R06_T01/S007_R06_T02/S007_R06_T03/S007_R06_T04/S007_R06_T05/S007_R06_T06/S007_R06_T07/S007_R06_T08/S007_R06_T09/S007_R06_T10/S007_R06_T11/S007_R06_T12/S007_R06_T13/S007_R06_T14/S007_R10_T00/S007_R10_T01/S007_R10_T02/S007_R10_T03/S007_R10_T04/S007_R10_T05/S007_R10_T06/S007_R10_T07/S007_R10_T08/S007_R10_T09/S007_R10_T10/S007_R10_T11/S007_R10_T12/S007_R10_T13/S007_R10_T14,True,False,False,False,False,False,True,-0.3203675572052678,0
